iter	Passed	Remaining
435	1297	1678
436	1299	1674
437	1303	1672
438	1305	1667
439	1306	1663
440	1308	1658
441	1310	1654
442	1312	1650
443	1314	1646
444	1317	1642
445	1318	1637
446	1320	1633
447	1322	1629
448	1323	1624
449	1325	1619
450	1326	1615
451	1328	1610
452	1332	1609
453	1334	1605
454	1336	1601
455	1339	1597
456	1340	1593
457	1342	1589
458	1346	1586
459	1349	1583
460	1351	1579
461	1353	1575
462	1354	1571
463	1356	1566
464	1357	1561
465	1358	1556
466	1361	1553
467	1362	1549
468	1364	1544
469	1366	1540
470	1368	1536
471	1370	1532
472	1372	1529
473	1374	1525
474	1378	1523
475	1380	1519
476	1382	1515
477	1384	1512
478	1386	1508
479	1388	1504
480	1391	1501
481	1393	1497
482	1395	1493
483	1398	1490
484	1400	1486
485	1402	1483
486	1404	1479
487	1406	1475
488	1408	1471
489	1409	1467
490	1411	1462
491	1412	1458
492	1414	1454
493	1415	1449
494	1416	1445
495	1418	1441
496	1421	1438
497	1423	1434
498	1425	1431
499	1427	1427
500	1429	1424
501	1431	1420
502	1434	1417
503	1436	1413
504	1438	1409
505	1439	1405
506	1441	1401
507	1442	1397
508	1444	1393
509	1446	1389
510	1447	1385
511	1451	1383
512	1453	1379
513	1455	1376
514	1457	1372
515	1459	1369
516	1462	1366
517	1465	1363
518	1468	1360
519	1470	1357
520	1472	1353
521	1474	1349
522	1476	1346
523	1478	1342
524	1481	1339
525	1483	1336
526	1485	1333
527	1495	1337
528	1497	1333
529	1499	1329
530	1501	1325
531	1502	1321
532	1503	1317
533	1505	1313
534	1506	1309
535	1508	1305
536	1510	1302
537	1512	1299
538	1514	1295
539	1516	1291
540	1517	1287
541	1519	1283
542	1521	1280
543	1522	1276
544	1525	1273
545	1528	1270
546	1530	1267
547	1532	1263
548	1534	1260
549	1536	1256
550	1538	1253
551	1541	1250
552	1543	1247
553	1545	1243
554	1547	1240
555	1549	1237
556	1550	1233
557	1552	1229
558	1555	1227
559	1557	1223
560	1558	1219
561	1560	1216
562	1562	1212
563	1563	1208
564	1565	1204
565	1566	1201
566	1568	1197
567	1571	1195
568	1573	1192
569	1575	1188
570	1578	1185
571	1580	1182
572	1582	1179
573	1585	1176
574	1587	1173
575	1589	1170
576	1591	1166
577	1594	1163
578	1596	1160
579	1598	1157
580	1601	1154
581	1602	1151
582	1604	1147
583	1606	1144
584	1608	1140
585	1610	1137
586	1611	1133
587	1614	1131
588	1616	1127
589	1618	1124
590	1619	1120
591	1621	1117
592	1623	1114
593	1626	1111
594	1628	1108
595	1630	1105
596	1633	1102
597	1635	1099
598	1637	1096
599	1639	1093
600	1641	1089
601	1644	1087
602	1647	1084
603	1648	1081
604	1650	1077
605	1651	1073
606	1652	1070
607	1654	1066
608	1655	1063
609	1657	1059
610	1659	1056
611	1661	1053
612	1662	1049
613	1664	1046
614	1665	1042
615	1666	1039
616	1668	1035
617	1669	1031
618	1670	1028
619	1672	1024
620	1675	1022
621	1677	1019
622	1679	1016
623	1680	1012
624	1682	1009
625	1684	1006
626	1686	1003
627	1689	1000
628	1691	997
629	1693	994
630	1695	991
631	1696	988
632	1698	984
633	1700	981
634	1702	978
635	1704	975
636	1706	972
637	1708	969
638	1710	966
639	1712	963
640	1714	959
641	1715	956
642	1718	953
643	1720	951
644	1722	947
645	1723	944
646	1724	940
647	1725	937
648	1727	934
649	1728	930
650	1730	927
651	1733	925
652	1735	922
653	1736	918
654	1738	915
655	1740	912
656	1741	909
657	1743	906
658	1745	903
659	1748	900
660	1749	897
661	1751	894
662	1752	890
663	1753	887
664	1754	883
665	1755	880
666	1757	877
667	1759	874
668	1761	871
669	1763	868
670	1765	865
671	1766	862
672	1767	859
673	1769	855
674	1770	852
675	1771	848
676	1772	845
677	1773	842
678	1774	839
679	1776	836
680	1779	833
681	1781	830
682	1782	827
683	1784	824
684	1786	821
685	1788	818
686	1789	815
687	1791	812
688	1794	809
689	1796	807
690	1798	804
691	1799	801
692	1801	798
693	1803	795
694	1805	792
695	1807	789
696	1810	786
697	1812	784
698	1813	781
699	1815	778
700	1817	775
701	1819	772
702	1821	769
703	1823	766
704	1825	763
705	1827	761
706	1829	758
707	1831	755
708	1833	752
709	1835	749
710	1837	746
711	1839	744
712	1841	741
713	1842	738
714	1844	735
715	1846	732
716	1847	729
717	1848	725
718	1849	722
719	1850	719
720	1851	716
721	1853	713
722	1854	710
723	1855	707
724	1855	703
725	1856	700
726	1857	697
727	1858	694
728	1859	691
729	1860	688
730	1861	684
731	1862	681
732	1863	678
733	1863	675
734	1864	672
735	1866	669
736	1867	666
737	1868	663
738	1869	660
739	1870	657
740	1871	654
741	1872	651
742	1873	648
743	1874	645
744	1876	642
745	1877	639
746	1878	636
747	1879	633
748	1881	630
749	1882	627
750	1883	624
751	1884	621
752	1885	618
753	1886	615
754	1887	612
755	1888	609
756	1888	606
757	1889	603
758	1890	600
759	1891	597
760	1892	594
761	1893	591
762	1894	588
763	1895	585
764	1896	582
765	1897	579
766	1898	576
767	1899	573
768	1900	570
769	1901	567
770	1902	565
771	1903	562
772	1904	559
773	1905	556
774	1905	553
775	1906	550
776	1907	547
777	1908	544
778	1910	541
779	1911	539
780	1912	536
781	1913	533
782	1914	530
783	1915	527
784	1916	524
785	1917	521
786	1917	519
787	1918	516
788	1919	513
789	1920	510
790	1921	507
791	1922	504
792	1923	502
793	1924	499
794	1925	496
795	1926	493
796	1927	491
797	1928	488
798	1929	485
799	1930	482
800	1932	480
801	1933	477
802	1934	474
803	1935	471
804	1936	469
805	1937	466
806	1938	463
807	1940	461
808	1941	458
809	1942	455
810	1943	452
811	1944	450
812	1945	447
813	1946	444
814	1947	442
815	1948	439
816	1949	436
817	1950	433
818	1951	431
819	1952	428
820	1953	425
821	1954	423
822	1955	420
823	1956	417
824	1957	415
825	1958	412
826	1960	410
827	1961	407
828	1962	404
829	1963	402
830	1964	399
831	1964	396
832	1965	394
833	1966	391
834	1968	389
835	1970	386
836	1971	383
837	1971	381
838	1972	378
839	1973	375
840	1974	373
841	1975	370
842	1976	368
843	1977	365
844	1978	362
845	1979	360
846	1980	357
847	1980	355
848	1981	352
849	1983	350
850	1985	347
851	1986	345
852	1987	342
853	1988	339
854	1989	337
855	1990	334
856	1991	332
857	1992	329
858	1992	327
859	1993	324
860	1994	322
861	1995	319
862	1996	316
863	1998	314
864	1999	312
865	2000	309
866	2001	307
867	2002	304
868	2003	302
869	2004	299
870	2006	297
871	2007	294
872	2008	292
873	2009	289
874	2009	287
875	2010	284
876	2012	282
877	2013	279
878	2014	277
879	2015	274
880	2016	272
881	2017	269
882	2018	267
883	2019	265
884	2020	262
885	2021	260
886	2022	257
887	2023	255
888	2024	252
889	2025	250
890	2026	247
891	2027	245
892	2028	243
893	2029	240
894	2030	238
895	2031	235
896	2032	233
897	2033	230
898	2034	228
899	2034	226
900	2035	223
901	2036	221
902	2037	218
903	2038	216
904	2039	214
905	2041	211
906	2042	209
907	2043	207
908	2044	204
909	2045	202
910	2046	199
911	2047	197
912	2048	195
913	2049	192
914	2050	190
915	2051	188
916	2052	185
917	2053	183
918	2054	181
919	2056	178
920	2057	176
921	2058	174
922	2058	171
923	2059	169
924	2060	167
925	2061	164
926	2062	162
927	2063	160
928	2064	157
929	2065	155
930	2065	153
931	2066	150
932	2067	148
933	2068	146
934	2069	143
935	2071	141
936	2072	139
937	2073	137
938	2074	134
939	2075	132
940	2075	130
941	2076	127
942	2077	125
943	2078	123
944	2079	121
945	2080	118
946	2081	116
947	2082	114
948	2083	111
949	2084	109
950	2085	107
951	2086	105
952	2087	102
953	2088	100
954	2089	98
955	2090	96
956	2091	93
957	2092	91
958	2093	89
959	2093	87
960	2094	85
961	2095	82
962	2096	80
963	2097	78
964	2098	76
965	2099	73
966	2100	71
967	2101	69
968	2102	67
969	2103	65
970	2104	62
971	2105	60
972	2106	58
973	2107	56
974	2108	54
975	2109	51
976	2109	49
977	2110	47
978	2111	45
979	2112	43
980	2114	40
981	2115	38
982	2116	36
983	2117	34
984	2118	32
985	2119	30
986	2120	27
987	2121	25
988	2122	23
989	2123	21
990	2124	19
991	2125	17
992	2126	14
993	2128	12
994	2129	10
995	2130	8
996	2131	6
997	2132	4
998	2133	2
999	2134	0
